Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dominic,tvui,errorDialog,,,2022-07-06 00:42:35
Dominic,tvui,movieDetails,,,2022-07-02 23:14:02
Dominic,tvui,profilesGate,,,2022-07-02 23:14:02
Dominic,tvui,playback,,,2022-07-02 07:59:50
Dominic,tvui,movieDetails,,,2022-07-02 07:59:50
Dominic,tvui,playback,,,2022-07-02 07:38:15
Dominic,tvui,movieDetails,,,2022-07-02 07:38:15
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:38:13
Dominic,tvui,movieDetails,,,2022-07-02 07:38:13
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:37:19
Dominic,tvui,movieDetails,,,2022-07-02 07:37:19
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:37:16
Dominic,tvui,movieDetails,,,2022-07-02 07:37:16
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:35:39
Dominic,tvui,movieDetails,,,2022-07-02 07:35:39
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:35:35
Dominic,tvui,movieDetails,,,2022-07-02 07:35:35
Dominic,tvui,movieDetails,,,2022-07-02 07:35:12
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:35:12
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:35:08
Dominic,tvui,movieDetails,,,2022-07-02 07:35:08
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:33:56
Dominic,tvui,movieDetails,,,2022-07-02 07:33:56
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:33:51
Dominic,tvui,movieDetails,,,2022-07-02 07:33:51
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:31:11
Dominic,tvui,movieDetails,,,2022-07-02 07:31:11
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:31:06
Dominic,tvui,movieDetails,,,2022-07-02 07:31:06
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:30:38
Dominic,tvui,movieDetails,,,2022-07-02 07:30:38
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:30:28
Dominic,tvui,movieDetails,,,2022-07-02 07:30:28
Dominic,tvui,movieDetails,,,2022-07-02 07:30:08
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:30:08
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:30:02
Dominic,tvui,movieDetails,,,2022-07-02 07:30:02
Dominic,tvui,movieDetails,,,2022-07-02 07:28:15
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:28:15
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:28:12
Dominic,tvui,movieDetails,,,2022-07-02 07:28:12
Dominic,tvui,movieDetails,,,2022-07-02 07:28:10
Dominic,tvui,browseTitlesGallery,,,2022-07-02 07:28:10
Dominic,tvui,playback,,,2022-07-02 07:28:07
Dominic,tvui,movieDetails,,,2022-07-02 07:28:07
Dominic,tvui,movieDetails,,,2022-07-02 05:35:07
Dominic,tvui,playback,,,2022-07-02 05:35:07
Dominic,tvui,movieDetails,,,2022-07-02 05:35:05
Dominic,tvui,browseTitlesGallery,,,2022-07-02 05:35:05
Dominic,tvui,movieDetails,,,2022-07-02 05:34:43
Dominic,tvui,browseTitlesGallery,,,2022-07-02 05:34:43
Dominic,tvui,movieDetails,,,2022-07-02 05:34:39
Dominic,tvui,playback,,,2022-07-02 05:34:39
Dominic,tvui,movieDetails,,,2022-07-02 04:01:51
Dominic,tvui,playback,,,2022-07-02 04:01:51
Dominic,tvui,browseTitlesGallery,,,2022-07-02 04:01:48
Dominic,tvui,movieDetails,,,2022-07-02 04:01:48
