Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Dominic,"Stranger Things 4: ""Chapter Eight: Papa""",Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-12 01:24:22,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3232,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5605,""mediaOffsetMs"":2293},{""eventType"":""reposition"",""sessionOffsetMs"":36446,""mediaOffsetMs"":3209206},{""eventType"":""playing"",""sessionOffsetMs"":38771,""mediaOffsetMs"":3209206},{""eventType"":""playing"",""sessionOffsetMs"":38798,""mediaOffsetMs"":3209206},{""eventType"":""paused"",""sessionOffsetMs"":43162,""mediaOffsetMs"":3213460},{""eventType"":""reposition"",""sessionOffsetMs"":53882,""mediaOffsetMs"":2850000},{""eventType"":""playing"",""sessionOffsetMs"":55907,""mediaOffsetMs"":2848846},{""eventType"":""playing"",""sessionOffsetMs"":67758,""mediaOffsetMs"":2860858},{""eventType"":""playing"",""sessionOffsetMs"":71763,""mediaOffsetMs"":2864862},{""eventType"":""paused"",""sessionOffsetMs"":2145648,""mediaOffsetMs"":4938683},{""eventType"":""stopped"",""sessionOffsetMs"":2147238,""mediaOffsetMs"":4938675}]"
Dominic,Recap: Stranger Things 4 Vol. 1,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-12 01:24:16,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3401,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6850,""mediaOffsetMs"":2855},{""eventType"":""stopped"",""sessionOffsetMs"":8124,""mediaOffsetMs"":3253}]"
Dominic,"Stranger Things 4: ""Chapter Nine: The Piggyback""",Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-12 01:23:54,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4575,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":16587,""mediaOffsetMs"":12012},{""eventType"":""paused"",""sessionOffsetMs"":17235,""mediaOffsetMs"":12762},{""eventType"":""playing"",""sessionOffsetMs"":17275,""mediaOffsetMs"":12012},{""eventType"":""stopped"",""sessionOffsetMs"":24177,""mediaOffsetMs"":11332}]"
Dominic,"Stranger Things 4: ""Chapter Four: Dear Billy""",Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-12 01:21:54,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":375000},{""eventType"":""playing"",""sessionOffsetMs"":4575,""mediaOffsetMs"":375000},{""eventType"":""paused"",""sessionOffsetMs"":4807,""mediaOffsetMs"":374624},{""eventType"":""stopped"",""sessionOffsetMs"":120563,""mediaOffsetMs"":374401}]"
Dominic,The Flash: Season 1_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-12 01:21:51,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2061,""mediaOffsetMs"":0}]"
Dominic,Plot Clip: The Sea Beast,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-12 01:20:30,US,"[{""eventType"":""start"",""sessionOffsetMs"":62241,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":63905,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":74802,""mediaOffsetMs"":10958},{""eventType"":""playing"",""sessionOffsetMs"":80675,""mediaOffsetMs"":16833},{""eventType"":""paused"",""sessionOffsetMs"":81968,""mediaOffsetMs"":17876},{""eventType"":""stopped"",""sessionOffsetMs"":82498,""mediaOffsetMs"":18110}]"
Dominic,The Flash: Season 1_hook_primary_16x9,Netflix Windows App - Cadmium Windows Mobile,2022-07-07 22:19:08,US,"[{""eventType"":""start"",""sessionOffsetMs"":-1,""mediaOffsetMs"":-1}]"
Dominic,Choose or Die,Netflix Windows App - Cadmium Windows Mobile,2022-07-07 21:08:32,US,"[{""eventType"":""start"",""sessionOffsetMs"":146,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3508,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":39850,""mediaOffsetMs"":36000},{""eventType"":""paused"",""sessionOffsetMs"":337589,""mediaOffsetMs"":334000},{""eventType"":""playing"",""sessionOffsetMs"":400020,""mediaOffsetMs"":334000},{""eventType"":""paused"",""sessionOffsetMs"":407700,""mediaOffsetMs"":349359},{""eventType"":""reposition"",""sessionOffsetMs"":415379,""mediaOffsetMs"":356000},{""eventType"":""playing"",""sessionOffsetMs"":415570,""mediaOffsetMs"":356000},{""eventType"":""paused"",""sessionOffsetMs"":419694,""mediaOffsetMs"":364248},{""eventType"":""reposition"",""sessionOffsetMs"":423818,""mediaOffsetMs"":372000},{""eventType"":""playing"",""sessionOffsetMs"":423929,""mediaOffsetMs"":372000},{""eventType"":""paused"",""sessionOffsetMs"":424100,""mediaOffsetMs"":372341},{""eventType"":""reposition"",""sessionOffsetMs"":424270,""mediaOffsetMs"":380000},{""eventType"":""playing"",""sessionOffsetMs"":424435,""mediaOffsetMs"":380000},{""eventType"":""paused"",""sessionOffsetMs"":424758,""mediaOffsetMs"":380645},{""eventType"":""reposition"",""sessionOffsetMs"":425080,""mediaOffsetMs"":388000},{""eventType"":""playing"",""sessionOffsetMs"":425242,""mediaOffsetMs"":388000},{""eventType"":""paused"",""sessionOffsetMs"":425496,""mediaOffsetMs"":388507},{""eventType"":""reposition"",""sessionOffsetMs"":425749,""mediaOffsetMs"":396000},{""eventType"":""playing"",""sessionOffsetMs"":425900,""mediaOffsetMs"":396000},{""eventType"":""paused"",""sessionOffsetMs"":836949,""mediaOffsetMs"":807000},{""eventType"":""stopped"",""sessionOffsetMs"":2637145,""mediaOffsetMs"":807000}]"
Dominic,The Flash: Season 1_hook_primary_16x9,Netflix Windows App - Cadmium Windows Mobile,2022-07-07 21:08:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":-1,""mediaOffsetMs"":-1}]"
Dominic,Choose or Die,Netflix Windows App - Cadmium Windows Mobile,2022-07-07 19:46:25,US,"[{""eventType"":""start"",""sessionOffsetMs"":171,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2710,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4035,""mediaOffsetMs"":1000},{""eventType"":""stopped"",""sessionOffsetMs"":1804086,""mediaOffsetMs"":1000}]"
