Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Dominic,US,Smart TV,0,not,Not Another Teen Movie,play,title_results,2022-06-08 01:46:39
Dominic,US,Smart TV,0,not,Not Another Teen Movie,select,title_results,2022-06-08 01:46:33
Dominic,US,Smart TV,0,atmos,6 Underground,play,title_results,2022-04-16 05:30:38
Dominic,US,Smart TV,0,atmos,6 Underground,select,title_results,2022-04-16 05:30:35
Dominic,US,Smart TV,0,atmos,6 Underground,play,title_results,2022-04-16 05:29:09
Dominic,US,Smart TV,0,atmos,6 Underground,select,title_results,2022-04-16 05:29:05
Dominic,US,Smart TV,0,drag,,play,title_results,2022-03-21 05:21:26
Dominic,US,Smart TV,0,drag,,select,title_results,2022-03-21 05:21:21
Dominic,US,Smart TV,0,petd ,Pete Davidson: Alive From New York,play,title_results,2022-03-20 01:36:50
Dominic,US,Smart TV,0,petd ,Pete Davidson: Alive From New York,select,title_results,2022-03-20 01:36:47
Dominic,US,Smart TV,0,diy,,play,title_results,2021-12-06 23:44:25
Dominic,US,Smart TV,0,diy,,select,title_results,2021-12-06 23:44:13
Dominic,US,Smart TV,0,our,,play,title_results,2021-08-11 04:39:38
Dominic,US,Smart TV,0,our,,select,title_results,2021-08-11 04:39:31
Dominic,US,Smart TV,0,bone,,select,,2021-04-21 15:23:28
Dominic,US,Smart TV,0,one r,Once in a Lifetime Sessions with OneRepublic,play,,2021-04-11 04:05:55
Dominic,US,Smart TV,0,one r,Once in a Lifetime Sessions with OneRepublic,select,,2021-04-11 04:05:52
Dominic,US,iPhone,0,tom hanks,,select,,2021-02-22 03:16:00
Dominic,US,Smart TV,0,ne,,play,,2021-01-19 05:30:25
Dominic,US,Smart TV,0,ne,,select,,2021-01-19 05:30:23
Dominic,US,Smart TV,0,st,,select,,2021-01-04 18:17:33
Dominic,US,Smart TV,0,a,Ninja Assassin,select,,2020-12-09 05:49:20
Dominic,US,Smart TV,0,baby driv,Ip Man 4: The Finale,select,,2020-12-06 03:11:41
Dominic,US,Smart TV,0,baby driv,We Are Your Friends,select,,2020-12-06 03:10:23
Dominic,US,Smart TV,0,who,,play,,2020-09-28 18:06:38
Dominic,US,Smart TV,0,who,,select,,2020-09-28 18:06:35
Dominic,US,Smart TV,0,ex,,select,,2020-09-28 17:55:02
Dominic,US,Smart TV,0,lege,,play,,2020-09-01 04:13:39
Dominic,US,Smart TV,0,lege,,select,,2020-09-01 04:12:55
Dominic,US,Smart TV,0,a,,play,,2020-09-01 02:48:19
Dominic,US,Smart TV,0,a,,select,,2020-09-01 02:48:07
Dominic,US,Smart TV,0,superg,,play,,2020-09-01 01:27:48
Dominic,US,Smart TV,0,superg,,select,,2020-09-01 01:27:36
Dominic,US,Smart TV,0,night,The Night Clerk,play,,2020-06-19 04:13:03
Dominic,US,Smart TV,0,night,The Night Clerk,select,,2020-06-19 04:13:01
Dominic,US,iPhone,0,the night,The Night Clerk,select,,2020-06-13 07:15:54
Dominic,US,Smart TV,0,s,,play,,2020-06-11 15:17:14
Dominic,US,Smart TV,0,s,,select,,2020-06-11 15:17:11
Dominic,US,Smart TV,0,fl,,play,,
Dominic,US,Smart TV,0,fl,,select,,
P. Michael,US,MVPD STB,0,far,Fargo,select,suggestion_results,2022-06-24 02:29:11
P. Michael,US,MVPD STB,0,squi,,play,title_results,2022-06-12 20:23:44
