Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Ashley,2022-07-12 01:08:41,00:00:05,,Stand Out: An LGBTQ+ Celebration,,Chrome PC (Cadmium),00:00:05,00:00:05,US (United States)
Ashley,2022-07-12 01:08:31,00:00:08,Autoplayed: user action: None; ,Comedy Clip 3: Stand Out: An LGBTQ+ Celebration,HOOK,Chrome PC (Cadmium),00:00:08,00:00:08,US (United States)
Ashley,2022-07-12 01:07:46,00:00:20,Autoplayed: user action: None; ,Season 1 Trailer: Snowflake Mountain,TRAILER,Chrome PC (Cadmium),00:00:20,00:00:20,US (United States)
Ashley,2022-07-12 01:07:23,00:00:07,Autoplayed: user action: None; ,The Vampire Diaries: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:07,00:00:07,US (United States)
Ashley,2022-07-12 00:15:11,00:00:40,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: How To Build A Sex Room,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,US (United States)
Ashley,2022-07-11 06:46:09,01:11:44,,Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse (Episode 2),,FireTV 4K Stick 2018,01:11:48,01:11:48,US (United States)
Ashley,2022-07-11 06:15:12,00:30:52,,Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club (Episode 1),,FireTV 4K Stick 2018,01:13:19,01:13:19,US (United States)
Ashley,2022-07-11 00:43:48,00:42:22,,Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club (Episode 1),,FireTV 4K Stick 2018,00:42:27,Not latest view,US (United States)
Ashley,2022-07-10 23:40:29,01:02:34,,Stranger Things: Stranger Things 3: Chapter Eight: The Battle of Starcourt (Episode 8),,FireTV 4K Stick 2018,01:14:49,01:14:49,US (United States)
Ashley,2022-07-10 23:30:58,00:09:10,,Stranger Things: Stranger Things 3: Chapter Four: The Sauna Test (Episode 4),,FireTV 4K Stick 2018,00:09:10,00:09:10,US (United States)
Ashley,2022-07-10 23:17:30,00:12:09,,"Stranger Things: Stranger Things 3: Chapter One: Suzie, Do You Copy? (Episode 1)",,FireTV 4K Stick 2018,00:12:09,00:12:09,US (United States)
Ashley,2022-07-10 23:15:10,00:01:12,,Stranger Things: Stranger Things 2: Chapter Nine: The Gate (Episode 9),,FireTV 4K Stick 2018,00:01:13,00:01:13,US (United States)
Ashley,2022-07-10 22:29:32,00:44:37,,Stranger Things: Stranger Things 2: Chapter One: MADMAX (Episode 1),,FireTV 4K Stick 2018,00:44:37,00:44:37,US (United States)
Ashley,2022-07-10 22:29:06,00:00:10,Autoplayed: user action: None; ,Moment of High Emotion Clip: Stranger Things 4 Volume 2,HOOK,FireTV 4K Stick 2018,00:00:10,00:00:10,US (United States)
Ashley,2022-06-24 08:38:56,00:29:38,,Heartstopper: Season 1: Boyfriend (Episode 8),,FireTV 4K Stick 2018,00:29:44,00:29:44,US (United States)
Ashley,2022-06-24 08:15:56,00:22:57,Autoplayed: user action: None; ,Heartstopper: Season 1: Bully (Episode 7),,FireTV 4K Stick 2018,00:23:03,00:23:03,US (United States)
Ashley,2022-06-24 07:56:10,00:19:12,,Heartstopper: Season 1: Girls (Episode 6),,FireTV 4K Stick 2018,00:26:21,00:26:21,US (United States)
Ashley,2022-06-24 07:40:36,00:15:26,,Heartstopper: Season 1: Girls (Episode 6),,FireTV 4K Stick 2018,00:15:32,Not latest view,US (United States)
Ashley,2022-06-24 07:17:08,00:23:18,,Heartstopper: Season 1: Friend (Episode 5),,FireTV 4K Stick 2018,00:23:24,00:23:24,US (United States)
Ashley,2022-06-24 06:51:30,00:25:36,,Heartstopper: Season 1: Secret (Episode 4),,FireTV 4K Stick 2018,00:25:42,00:25:42,US (United States)
Ashley,2022-06-24 06:25:23,00:26:04,,Heartstopper: Season 1: Kiss (Episode 3),,FireTV 4K Stick 2018,00:26:10,00:26:10,US (United States)
Ashley,2022-06-24 05:57:04,00:28:17,,Heartstopper: Season 1: Crush (Episode 2),,FireTV 4K Stick 2018,00:28:23,00:28:23,US (United States)
Ashley,2022-06-24 05:33:07,00:23:54,Autoplayed: user action: User_Interaction; ,Heartstopper: Season 1: Meet (Episode 1),,FireTV 4K Stick 2018,00:23:51,00:23:51,US (United States)
Ashley,2022-06-24 05:12:02,00:20:45,,The UnXplained with William Shatner: Season 1: Mysterious Structures (Episode 2),,FireTV 4K Stick 2018,00:20:45,00:20:45,US (United States)
Ashley,2022-06-24 04:30:00,00:41:55,,The UnXplained with William Shatner: Season 1: Evil Places (Episode 1),,FireTV 4K Stick 2018,00:41:55,00:41:55,US (United States)
Ashley,2022-06-24 04:29:53,00:00:04,Autoplayed: user action: None; ,The UnXplained with William Shatner: Season 1_hook_01_16x9,HOOK,FireTV 4K Stick 2018,00:00:04,00:00:04,US (United States)
Ashley,2022-06-24 04:05:06,00:01:50,,Trailer: Keep Sweet: Pray and Obey,TRAILER,FireTV 4K Stick 2018,00:01:50,00:01:50,US (United States)
Ashley,2022-06-24 04:01:56,00:03:07,,Trailer: Stranger Things 4,TRAILER,FireTV 4K Stick 2018,00:03:07,00:03:07,US (United States)
Ashley,2022-06-24 03:59:50,00:02:06,,Season 3 Trailer: The Umbrella Academy,TRAILER,FireTV 4K Stick 2018,00:02:06,00:02:06,US (United States)
Ashley,2022-06-24 03:02:57,00:56:50,Autoplayed: user action: User_Interaction; ,First Kill: Season 1: First Betrayal (Episode 8),,FireTV 4K Stick 2018,00:57:52,00:57:52,US (United States)
Ashley,2022-06-24 02:20:00,00:42:54,,First Kill: Season 1: First Goodbye (Episode 7),,FireTV 4K Stick 2018,00:42:54,00:42:54,US (United States)
Ashley,2022-06-24 02:18:09,00:00:46,Autoplayed: user action: None; ,Schitt's Creek: Season 1_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,00:00:46,00:00:46,US (United States)
Ashley,2022-06-23 10:55:48,00:01:50,,Trailer: Keep Sweet: Pray and Obey,TRAILER,FireTV 4K Stick 2018,00:01:50,Not latest view,US (United States)
Ashley,2022-06-23 10:52:39,00:03:07,,Trailer: Stranger Things 4,TRAILER,FireTV 4K Stick 2018,00:03:07,Not latest view,US (United States)
Ashley,2022-06-23 10:50:31,00:02:06,,Season 3 Trailer: The Umbrella Academy,TRAILER,FireTV 4K Stick 2018,00:02:06,Not latest view,US (United States)
