Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Dominic,NFANDROID2-PRV-MSD6886602GUHDANDROIDTV-HISENHISMARTTV=A4-12683-A7E3D8830427AE590B05F642FB14CF64AC7BB7558EC27F27EC199001D04FD74D,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,
Ashley,NFCDCH-02-JDTG5NXWMQ5570580KHYCUU1PRPAG5,Chrome PC (Cadmium),2022-07-12T00:15:11.544Z,2022-07-12T01:08:41.512Z,2022-07-12T01:07:03.824Z,2022-07-12T01:08:41.512Z,2022-07-12T00:15:11.544Z,2022-07-12T01:08:41.512Z,2022-07-12T01:07:03.824Z,2022-07-12T01:08:41.512Z,
P. Michael,NFCDFF-02-JDTGRUFG96F3Y7K24YVPR2QAYQGQ82,Firefox PC (Cadmium),,,,,,,,,
Barbara,NFCDFF-02-JDTGRUFG96F3Y7K24YVPR2QAYQGQ82,Firefox PC (Cadmium),,,,,,,,,
Dominic,NFCDFF-02-JDTGRUFG96F3Y7K24YVPR2QAYQGQ82,Firefox PC (Cadmium),,,,,,,,,
Ashley,NFCDFF-02-JDTGRUFG96F3Y7K24YVPR2QAYQGQ82,Firefox PC (Cadmium),,,,,,,,,
Natalie,NFCDFF-02-JDTGRUFG96F3Y7K24YVPR2QAYQGQ82,Firefox PC (Cadmium),,,,,,,,,
P. Michael,NFCDCH-02-JDTG5NXWMQ5570580KHYCUU1PRPAG5,Chrome PC (Cadmium),2022-07-12T00:15:11.544Z,2022-07-12T01:08:41.512Z,2022-07-12T01:07:03.824Z,2022-07-12T01:08:41.512Z,,,,,
Barbara,NFCDCH-02-JDTG5NXWMQ5570580KHYCUU1PRPAG5,Chrome PC (Cadmium),2022-07-12T00:15:11.544Z,2022-07-12T01:08:41.512Z,2022-07-12T01:07:03.824Z,2022-07-12T01:08:41.512Z,,,,,
Dominic,NFCDCH-02-JDTG5NXWMQ5570580KHYCUU1PRPAG5,Chrome PC (Cadmium),2022-07-12T00:15:11.544Z,2022-07-12T01:08:41.512Z,2022-07-12T01:07:03.824Z,2022-07-12T01:08:41.512Z,,,,,
Natalie,NFCDCH-02-JDTG5NXWMQ5570580KHYCUU1PRPAG5,Chrome PC (Cadmium),2022-07-12T00:15:11.544Z,2022-07-12T01:08:41.512Z,2022-07-12T01:07:03.824Z,2022-07-12T01:08:41.512Z,,,,,
Ashley,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-B3628C48FC270B37D715D4544625257F15F32CF2A2DBF750D96B401E1A888F7F,FireTV 4K Stick 2018,2021-11-27T23:08:14.252Z,2022-07-11T06:46:09.168Z,2021-11-27T23:09:35.888Z,2022-07-11T06:46:09.168Z,2021-12-18T22:26:43.796Z,2022-07-11T06:46:09.168Z,2021-12-18T22:26:43.796Z,2022-07-11T06:46:09.168Z,
Dominic,NFUWA-001-06FD9306A7B5DB36C8355F99A962E7AF1277B02EAF7D2379A5916A53A388B7A0,Netflix Windows App - Cadmium Windows Mobile,2020-03-19T15:37:07.273Z,2022-07-07T21:08:32.168Z,2022-02-16T17:56:30.096Z,2022-07-07T21:08:32.168Z,2020-03-19T15:37:07.273Z,2022-07-07T21:08:32.168Z,2022-02-16T17:56:30.096Z,2022-07-07T21:08:32.168Z,
P. Michael,CMCSTX1001-00000104020B29C5-CC65AD8E5E08,Comcast X1 MIPS NO SAGE MVPD STB,2020-07-07T04:43:39.975Z,2022-07-03T06:10:56.313Z,2020-07-13T04:24:11.073Z,2022-07-03T06:10:56.313Z,2020-07-07T04:43:39.975Z,2022-07-03T06:10:56.313Z,2020-07-13T04:24:11.073Z,2022-07-03T06:10:56.313Z,
Barbara,NFANDROID2-PRV-MSD6886602GUHDANDROIDTV-HISENHISMARTTV=A4-12683-A7E3D8830427AE590B05F642FB14CF64AC7BB7558EC27F27EC199001D04FD74D,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,,,,,
Ashley,NFANDROID2-PRV-MSD6886602GUHDANDROIDTV-HISENHISMARTTV=A4-12683-A7E3D8830427AE590B05F642FB14CF64AC7BB7558EC27F27EC199001D04FD74D,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,,,,,
Natalie,NFANDROID2-PRV-MSD6886602GUHDANDROIDTV-HISENHISMARTTV=A4-12683-A7E3D8830427AE590B05F642FB14CF64AC7BB7558EC27F27EC199001D04FD74D,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,2022-02-10T02:31:48.729Z,2022-07-12T02:48:55.942Z,,,,,
