Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID2-PRV-MSD6886602GUHDANDROIDTV-HISENHISMARTTV=A4-12683-A7E3D8830427AE590B05F642FB14CF64AC7BB7558EC27F27EC199001D04FD74D,US,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2601:204:e080:9680:b4f7:6cc:2bba:4928,California,2022-07-12T01:20:30.248Z
NFCDCH-02-JDTG5NXWMQ5570580KHYCUU1PRPAG5,US,Chrome PC (Cadmium),Chrome PC (Cadmium),2601:204:e000:feb0:888:f1a6:d1c4:6ac6,California,2022-07-12T00:15:11.544Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-B3628C48FC270B37D715D4544625257F15F32CF2A2DBF750D96B401E1A888F7F,US,FireTV 4K Stick 2018,FireTV 4K Stick 2018,2601:204:e000:feb0:c5fe:4033:bc03:88b9,California,2022-07-11T06:15:12.307Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-B3628C48FC270B37D715D4544625257F15F32CF2A2DBF750D96B401E1A888F7F,US,FireTV 4K Stick 2018,FireTV 4K Stick 2018,2601:204:e000:feb0:c5fe:4033:bc03:88b9,California,2022-07-10T23:30:58.016Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-B3628C48FC270B37D715D4544625257F15F32CF2A2DBF750D96B401E1A888F7F,US,FireTV 4K Stick 2018,FireTV 4K Stick 2018,2601:204:e000:feb0:d0e0:e01f:e00a:3d34,California,2022-07-10T22:29:32.621Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-B3628C48FC270B37D715D4544625257F15F32CF2A2DBF750D96B401E1A888F7F,US,FireTV 4K Stick 2018,FireTV 4K Stick 2018,71.195.176.75,California,2022-07-10T22:29:06.290Z
NFUWA-001-06FD9306A7B5DB36C8355F99A962E7AF1277B02EAF7D2379A5916A53A388B7A0,US,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,98.208.90.24,California,2022-07-07T19:41:05.236Z
CMCSTX1001-00000104020B29C5-CC65AD8E5E08,US,Comcast X1 MIPS NO SAGE MVPD STB,Comcast X1 MIPS NO SAGE MVPD STB,2001:558:5020:64:2c2e:b390:2604:bd8b,New Jersey,2022-07-03T01:01:40.603Z
NFANDROID2-PRV-MSD6886602GUHDANDROIDTV-HISENHISMARTTV=A4-12683-A7E3D8830427AE590B05F642FB14CF64AC7BB7558EC27F27EC199001D04FD74D,US,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2601:204:e080:9680:d14e:bac8:e9bb:13aa,California,2022-07-02T07:28:13.042Z
NFANDROID2-PRV-MSD6886602GUHDANDROIDTV-HISENHISMARTTV=A4-12683-A7E3D8830427AE590B05F642FB14CF64AC7BB7558EC27F27EC199001D04FD74D,US,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2601:204:e080:9680:d14e:bac8:e9bb:13aa,California,2022-07-02T01:24:17.556Z
